prediction_set,prediction_type,prompt_id,source_file,video_name,annotation_number,annotation_description,annotation_start_time,annotation_end_time,importance_label,best_prediction_number,best_prediction_description,best_prediction_start_time,best_prediction_end_time,similarity_score,is_present
event_only_prompt2,event_only,prompt2,event_only_predictions_prompt2.txt,video_22,2,"A logo appears introducing ""Charlotte Parkour""",00:18,00:20,2,5,Another person walks along a path lined by bushes as they pass through campus grounds where students gather outdoors.,,,0.1242469847202301,False
event_only_prompt2,event_only,prompt2,event_only_predictions_prompt2.txt,video_22,3,"A member of Charlotte Parkour is interviewed, with interleaved parkour demonstrations",00:21,02:30,2,2,Two young women walk down a sidewalk near some trees while conversing with friends.,,,0.18068471550941467,False
event_only_prompt2,event_only,prompt2,event_only_predictions_prompt2.txt,video_22,5,A participant attempts a rolling movement during training,02:31,02:39,1,5,Another person walks along a path lined by bushes as they pass through campus grounds where students gather outdoors.,,,0.20743921399116516,False
event_only_prompt2,event_only,prompt2,event_only_predictions_prompt2.txt,video_22,1,A group of people warm up and exercise together,00:00,00:17,0,3,Three boys play basketball together under a large tree during recess time.,,,0.2336321920156479,False
event_only_prompt2,event_only,prompt2,event_only_predictions_prompt2.txt,video_22,8,The group lines up on a wall facing the camera,03:44,03:50,-1,4,One boy climbs up onto a brick ledge to get closer to his peers who have gathered around him for conversation.,,,0.26223981380462646,False
event_only_prompt2,event_only,prompt2,event_only_predictions_prompt2.txt,video_22,7,"A group practices coordinated jumps onto a wall, attempting precision landings",03:05,03:40,1,1,A man runs across an open field towards another group of men playing frisbee.,,,0.2864244878292084,False
event_only_prompt2,event_only,prompt2,event_only_predictions_prompt2.txt,video_22,6,Another participant speaks and demonstrates a jump over an obstacle,02:41,03:05,1,4,One boy climbs up onto a brick ledge to get closer to his peers who have gathered around him for conversation.,,,0.3586744964122772,False
event_only_prompt2,event_only,prompt2,event_only_predictions_prompt2.txt,video_22,4,A group continues training together in an outdoor field,01:31,02:10,0,1,A man runs across an open field towards another group of men playing frisbee.,,,0.39810502529144287,False
event_only_prompt2,event_only,prompt2,event_only_predictions_prompt2.txt,video_23,8,He realizes it is Sunday and there is no urgency,02:34,02:46,2,2,He stops to look up as he reaches the top of the stairs.,,,0.1874653398990631,False
event_only_prompt2,event_only,prompt2,event_only_predictions_prompt2.txt,video_23,9,Ending credits appear,02:46,03:07,-2,7,"After some time spent conversing among themselves, two individuals exit the room.",,,0.22098276019096375,False
event_only_prompt2,event_only,prompt2,event_only_predictions_prompt2.txt,video_23,4,He attempts to catch public transport (bus and train) but fails,00:41,00:59,1,1,A man walks down an outdoor staircase with his backpack on.,,,0.26549065113067627,False
event_only_prompt2,event_only,prompt2,event_only_predictions_prompt2.txt,video_23,5,He runs and performs parkour over obstacles to continue his journey,00:59,02:12,2,2,He stops to look up as he reaches the top of the stairs.,,,0.2781595289707184,False
event_only_prompt2,event_only,prompt2,event_only_predictions_prompt2.txt,video_23,6,He slows down and adjusts his appearance calmly,02:13,02:24,-1,2,He stops to look up as he reaches the top of the stairs.,,,0.32501140236854553,False
event_only_prompt2,event_only,prompt2,event_only_predictions_prompt2.txt,video_23,7,He arrives at an empty location,02:25,02:34,1,8,One carries a large suitcase across the lobby area before leaving.,,,0.33916187286376953,False
event_only_prompt2,event_only,prompt2,event_only_predictions_prompt2.txt,video_23,1,A man wakes up and checks the time,00:00,00:10,2,2,He stops to look up as he reaches the top of the stairs.,,,0.34359708428382874,False
event_only_prompt2,event_only,prompt2,event_only_predictions_prompt2.txt,video_23,2,He quickly gets dressed and prepares to leave,00:10,00:28,1,8,One carries a large suitcase across the lobby area before leaving.,,,0.3994932174682617,False
event_only_prompt2,event_only,prompt2,event_only_predictions_prompt2.txt,video_24,7,Additional parkour sequences are performed across multiple scenes,01:54,02:19,1,9,Group gathers together outdoors enjoying time spent socializing under trees above ground level,,,0.18963949382305145,False
event_only_prompt2,event_only,prompt2,event_only_predictions_prompt2.txt,video_24,3,"A boy performs a sequence of parkour moves, including jumps, slides, and a flip",00:41,00:56,2,8,Person climbs fence around poolside during daytime outdoor activities,,,0.23876601457595825,False
event_only_prompt2,event_only,prompt2,event_only_predictions_prompt2.txt,video_24,6,A shopping cart is pushed into a lake and others attempt to retrieve it,01:38,01:46,-1,4,Two men walk along side of road by lake while others pass them by car,,,0.3455464541912079,False
event_only_prompt2,event_only,prompt2,event_only_predictions_prompt2.txt,video_24,4,A group dances briefly,01:07,01:09,-1,9,Group gathers together outdoors enjoying time spent socializing under trees above ground level,,,0.3994956612586975,False
timestamp_prompt1,timestamp,prompt1,timestamp_predictions_prompt1_annotation_style.txt,video_21,9,David Belle's mother is briefly interviewed,07:23,07:28,0,4,They both look at something together before continuing their run away from the camera.,01:00,01:20,0.13415974378585815,False
timestamp_prompt1,timestamp,prompt1,timestamp_predictions_prompt1_annotation_style.txt,video_21,1,Video title and introduction to the reportage about David Belle,00:00,00:08,0,4,They both look at something together before continuing their run away from the camera.,01:00,01:20,0.15516483783721924,False
timestamp_prompt1,timestamp,prompt1,timestamp_predictions_prompt1_annotation_style.txt,video_21,8,David Belle visits a house,06:57,07:23,1,22,An older man stands nearby her inside a building that has yellow walls.,07:04,07:24,0.18457841873168945,False
timestamp_prompt1,timestamp,prompt1,timestamp_predictions_prompt1_annotation_style.txt,video_21,2,David Belle performs parkour sequences in an introductory montage,00:08,02:48,2,6,One man stops briefly but continues moving forward after catching sight of someone else ahead.,01:40,02:00,0.24680164456367493,False
timestamp_prompt1,timestamp,prompt1,timestamp_predictions_prompt1_annotation_style.txt,video_21,10,David Belle shows images of an athlete he admires,07:47,07:55,1,4,They both look at something together before continuing their run away from the camera.,01:00,01:20,0.25453758239746094,False
timestamp_prompt1,timestamp,prompt1,timestamp_predictions_prompt1_annotation_style.txt,video_21,12,David Belle performs parkour down a building,10:17,10:38,2,9,A man is doing handstands on top of an overpass with buildings visible behind him.,02:42,03:02,0.27125802636146545,False
timestamp_prompt1,timestamp,prompt1,timestamp_predictions_prompt1_annotation_style.txt,video_21,3,David Belle climbs and performs parkour on a structure,02:49,03:20,1,7,Both individuals continue jogging through grassy areas until reaching more buildings further behind where people stand observing.,02:00,02:20,0.29322463274002075,False
timestamp_prompt1,timestamp,prompt1,timestamp_predictions_prompt1_annotation_style.txt,video_21,7,"A clip from the movie ""Mana o te Toa"" shows a person performing tricks",06:23,06:47,0,17,A person is standing on top of an open box with their arms outstretched as if dancing.,05:24,05:44,0.30378615856170654,False
timestamp_prompt1,timestamp,prompt1,timestamp_predictions_prompt1_annotation_style.txt,video_21,13,A group greets David Belle and shakes his hand,10:38,10:47,-1,32,Men engage in conversation seated next to each other during what appears to be a social gathering or meeting.,10:26,10:46,0.3286435604095459,False
timestamp_prompt1,timestamp,prompt1,timestamp_predictions_prompt1_annotation_style.txt,video_21,6,The group is interviewed on a TV channel,05:24,05:43,1,19,They engage in conversation near some parked cars along a street lined with buildings.,06:04,06:24,0.37115877866744995,False
timestamp_prompt1,timestamp,prompt1,timestamp_predictions_prompt1_annotation_style.txt,video_21,11,"A person attempts a trick, fails initially, then succeeds on retry",09:03,09:17,-1,6,One man stops briefly but continues moving forward after catching sight of someone else ahead.,01:40,02:00,0.3745186924934387,False
timestamp_prompt1,timestamp,prompt1,timestamp_predictions_prompt1_annotation_style.txt,video_21,4,A parkour group is introduced and presented,03:40,04:00,1,19,They engage in conversation near some parked cars along a street lined with buildings.,06:04,06:24,0.38370010256767273,False
timestamp_prompt1,timestamp,prompt1,timestamp_predictions_prompt1_annotation_style.txt,video_22,2,"A logo appears introducing ""Charlotte Parkour""",00:18,00:20,2,8,A man is running on grass with his arms outstretched while holding onto something above him. He then jumps up high before landing back down again. Another person runs towards him as he lands. Two people stand near an old stone wall covered in vines. One wears black shorts and white shoes; the other has red hair and tattoos visible through their shirt sleeves. They appear ready to play tag together.,01:18,02:34,0.21025387942790985,False
timestamp_prompt1,timestamp,prompt1,timestamp_predictions_prompt1_annotation_style.txt,video_22,3,"A member of Charlotte Parkour is interviewed, with interleaved parkour demonstrations",00:21,02:30,2,8,A man is running on grass with his arms outstretched while holding onto something above him. He then jumps up high before landing back down again. Another person runs towards him as he lands. Two people stand near an old stone wall covered in vines. One wears black shorts and white shoes; the other has red hair and tattoos visible through their shirt sleeves. They appear ready to play tag together.,01:18,02:34,0.22170233726501465,False
timestamp_prompt1,timestamp,prompt1,timestamp_predictions_prompt1_annotation_style.txt,video_22,5,A participant attempts a rolling movement during training,02:31,02:39,1,8,A man is running on grass with his arms outstretched while holding onto something above him. He then jumps up high before landing back down again. Another person runs towards him as he lands. Two people stand near an old stone wall covered in vines. One wears black shorts and white shoes; the other has red hair and tattoos visible through their shirt sleeves. They appear ready to play tag together.,01:18,02:34,0.2799873948097229,False
timestamp_prompt1,timestamp,prompt1,timestamp_predictions_prompt1_annotation_style.txt,video_23,9,Ending credits appear,02:46,03:07,-2,14,He then puts down his backpack and starts speaking while gesturing towards something off camera.,02:16,02:28,0.24181289970874786,False
timestamp_prompt1,timestamp,prompt1,timestamp_predictions_prompt1_annotation_style.txt,video_23,8,He realizes it is Sunday and there is no urgency,02:34,02:46,2,14,He then puts down his backpack and starts speaking while gesturing towards something off camera.,02:16,02:28,0.2549605667591095,False
timestamp_prompt1,timestamp,prompt1,timestamp_predictions_prompt1_annotation_style.txt,video_23,1,A man wakes up and checks the time,00:00,00:10,2,10,Event number 6: Person lying face down under staircase railing.,01:32,01:42,0.26207873225212097,False
timestamp_prompt1,timestamp,prompt1,timestamp_predictions_prompt1_annotation_style.txt,video_23,5,He runs and performs parkour over obstacles to continue his journey,00:59,02:12,2,7,"A person is running down an empty corridor with their backpack on while looking at something off camera. They then jump over some railings before falling onto the ground near blue benches. Finally, someone walks by them as they stand up again.",01:02,01:12,0.3433626890182495,False
timestamp_prompt1,timestamp,prompt1,timestamp_predictions_prompt1_annotation_style.txt,video_23,6,He slows down and adjusts his appearance calmly,02:13,02:24,-1,14,He then puts down his backpack and starts speaking while gesturing towards something off camera.,02:16,02:28,0.39479729533195496,False
timestamp_prompt1,timestamp,prompt1,timestamp_predictions_prompt1_annotation_style.txt,video_24,6,A shopping cart is pushed into a lake and others attempt to retrieve it,01:38,01:46,-1,3,Eating food that has been placed onto the roof rack above them.,00:15,00:23,0.29932454228401184,False
timestamp_prompt2,timestamp,prompt2,timestamp_predictions_prompt2_annotation_style.txt,video_21,9,David Belle's mother is briefly interviewed,07:23,07:28,0,5,They both disappear out of view.,00:35,00:44,0.08293125778436661,False
timestamp_prompt2,timestamp,prompt2,timestamp_predictions_prompt2_annotation_style.txt,video_21,1,Video title and introduction to the reportage about David Belle,00:00,00:08,0,48,Man stands alone under window overlooking streetscape.,09:10,09:42,0.1400022655725479,False
timestamp_prompt2,timestamp,prompt2,timestamp_predictions_prompt2_annotation_style.txt,video_21,8,David Belle visits a house,06:57,07:23,1,46,"The man is walking down an alleyway with his hands behind him. He then walks up onto a balcony of a building looking out over the street below. Later he joins two men standing outside talking near some buildings. Finally, they walk together through a busy city area before parting ways as different people pass by them.",08:06,08:38,0.17398428916931152,False
timestamp_prompt2,timestamp,prompt2,timestamp_predictions_prompt2_annotation_style.txt,video_21,10,David Belle shows images of an athlete he admires,07:47,07:55,1,19,A man is doing handstands against a wall.,02:42,02:58,0.2002134770154953,False
timestamp_prompt2,timestamp,prompt2,timestamp_predictions_prompt2_annotation_style.txt,video_21,12,David Belle performs parkour down a building,10:17,10:38,2,19,A man is doing handstands against a wall.,02:42,02:58,0.22542041540145874,False
timestamp_prompt2,timestamp,prompt2,timestamp_predictions_prompt2_annotation_style.txt,video_21,2,David Belle performs parkour sequences in an introductory montage,00:08,02:48,2,2,Another person runs towards him as he lands.,00:08,00:17,0.23158252239227295,False
timestamp_prompt2,timestamp,prompt2,timestamp_predictions_prompt2_annotation_style.txt,video_21,3,David Belle climbs and performs parkour on a structure,02:49,03:20,1,2,Another person runs towards him as he lands.,00:08,00:17,0.2785194218158722,False
timestamp_prompt2,timestamp,prompt2,timestamp_predictions_prompt2_annotation_style.txt,video_21,13,A group greets David Belle and shakes his hand,10:38,10:47,-1,31,Another individual approaches the group near the entrance door.,05:42,05:52,0.3077583909034729,False
timestamp_prompt2,timestamp,prompt2,timestamp_predictions_prompt2_annotation_style.txt,video_21,11,"A person attempts a trick, fails initially, then succeeds on retry",09:03,09:17,-1,35,Someone jumps up high as if trying to touch the ceiling.,06:20,06:29,0.30797290802001953,False
timestamp_prompt2,timestamp,prompt2,timestamp_predictions_prompt2_annotation_style.txt,video_21,7,"A clip from the movie ""Mana o te Toa"" shows a person performing tricks",06:23,06:47,0,35,Someone jumps up high as if trying to touch the ceiling.,06:20,06:29,0.32276973128318787,False
timestamp_prompt2,timestamp,prompt2,timestamp_predictions_prompt2_annotation_style.txt,video_22,2,"A logo appears introducing ""Charlotte Parkour""",00:18,00:20,2,5,One climber then performs a handstand against this new backdrop while others watch below.,00:50,01:03,0.12850995361804962,False
timestamp_prompt2,timestamp,prompt2,timestamp_predictions_prompt2_annotation_style.txt,video_22,3,"A member of Charlotte Parkour is interviewed, with interleaved parkour demonstrations",00:21,02:30,2,5,One climber then performs a handstand against this new backdrop while others watch below.,00:50,01:03,0.28328731656074524,False
timestamp_prompt2,timestamp,prompt2,timestamp_predictions_prompt2_annotation_style.txt,video_22,5,A participant attempts a rolling movement during training,02:31,02:39,1,5,One climber then performs a handstand against this new backdrop while others watch below.,00:50,01:03,0.34829181432724,False
timestamp_prompt2,timestamp,prompt2,timestamp_predictions_prompt2_annotation_style.txt,video_23,9,Ending credits appear,02:46,03:07,-2,13,"Finally, someone stands near where the previous two individuals were standing before continuing further away.",01:50,02:02,0.2500765323638916,False
timestamp_prompt2,timestamp,prompt2,timestamp_predictions_prompt2_annotation_style.txt,video_23,8,He realizes it is Sunday and there is no urgency,02:34,02:46,2,20,Man turns away momentarily but soon resumes path forward again.,02:45,02:52,0.3161540627479553,False
timestamp_prompt2,timestamp,prompt2,timestamp_predictions_prompt2_annotation_style.txt,video_23,6,He slows down and adjusts his appearance calmly,02:13,02:24,-1,20,Man turns away momentarily but soon resumes path forward again.,02:45,02:52,0.354092001914978,False
timestamp_prompt2,timestamp,prompt2,timestamp_predictions_prompt2_annotation_style.txt,video_23,4,He attempts to catch public transport (bus and train) but fails,00:41,00:59,1,1,standing near train station entrance with backpack,00:00,00:07,0.3794814646244049,False
timestamp_prompt2,timestamp,prompt2,timestamp_predictions_prompt2_annotation_style.txt,video_24,6,A shopping cart is pushed into a lake and others attempt to retrieve it,01:38,01:46,-1,16,They pass under a large building before reaching their destination.,02:08,02:16,0.3265456259250641,False
timestamp_prompt2,timestamp,prompt2,timestamp_predictions_prompt2_annotation_style.txt,video_24,7,Additional parkour sequences are performed across multiple scenes,01:54,02:19,1,11,He continues performing more impressive tricks before finishing off near some trees.,01:26,01:34,0.3447117805480957,False
